Index,Type,Data_Selected_Start,End,Code,Station,Channel,Peak_time
10,DF,2019-06-10T17:10:00,2019-06-10T19:20:00,9S,ILL12,EHZ,2019-06-10T17:30:11
11,DF,2019-06-10T21:50:00,2019-06-11T01:10:00,9S,ILL12,EHZ,2019-06-10T22:55:08
12,DF,2019-06-20T09:00:00,2019-06-20T10:50:00,9S,ILL12,EHZ,2019-06-20T09:22:20
13,DF,2019-06-21T19:30:00,2019-06-21T20:30:00,9S,ILL12,EHZ,2019-06-21T19:40:01
14,DF,2019-07-01T23:00:00,2019-07-02T00:30:00,9S,ILL12,EHZ,2019-07-01T23:15:00
15,DF,2019-07-02T22:05:00,2019-07-02T23:00:00,9S,ILL12,EHZ,2019-07-02T22:15:49
16,DF,2019-07-03T16:30:00,2019-07-03T17:55:00,9S,ILL12,EHZ,2019-07-03T17:08:12
17,DF,2019-07-15T03:35:00,2019-07-15T04:45:00,9S,ILL12,EHZ,2019-07-15T03:48:40
18,DF,2019-07-26T17:33:00,2019-07-26T18:30:00,9S,ILL12,EHZ,2019-07-26T17:43:14
19,DF,2019-08-11T17:00:00,2019-08-11T17:30:00,9S,ILL12,EHZ,2019-08-11T17:04:54
20,DF,2019-08-20T16:40:00,2019-08-20T17:30:00,9S,ILL12,EHZ,2019-08-20T16:48:52
10,DF,2019-06-10T16:45:00,2019-06-10T18:35:00,9S,ILL18,EHZ,No-Data
11,DF,2019-06-10T21:45:00,2019-06-10T23:15:00,9S,ILL18,EHZ,No-Data
12,DF,2019-06-20T08:55:00,2019-06-20T09:55:00,9S,ILL18,EHZ,No-Data
13,DF,2019-06-21T19:25:00,2019-06-21T20:55:00,9S,ILL18,EHZ,No-Data
14,DF,2019-07-01T22:50:00,2019-07-01T23:50:00,9S,ILL18,EHZ,No-Data
15,DF,2019-07-02T22:00:00,2019-07-02T22:50:00,9S,ILL18,EHZ,No-Data
16,DF,2019-07-03T16:30:00,2019-07-03T17:10:00,9S,ILL18,EHZ,No-Data
17,DF,2019-07-15T03:25:00,2019-07-15T04:10:00,9S,ILL18,EHZ,No-Data
18,DF,2019-07-26T17:25:00,2019-07-26T18:45:00,9S,ILL18,EHZ,No-Data
19,DF,2019-08-11T16:55:00,2019-08-11T17:40:00,9S,ILL18,EHZ,No-Data
20,DF,2019-08-20T16:30:00,2019-08-20T17:20:00,9S,ILL18,EHZ,No-Data
10,DF,2019-06-10T17:18:00,2019-06-10T20:00:00,9S,ILL13,EHZ,No-Data
11,DF,2019-06-10T22:00:00,2019-06-11T02:00:00,9S,ILL13,EHZ,No-Data
12,DF,2019-06-20T09:30:00,2019-06-20T11:30:00,9S,ILL13,EHZ,No-Data
13,DF,2019-06-21T19:30:00,2019-06-21T22:00:00,9S,ILL13,EHZ,No-Data
14,DF,2019-07-01T23:15:00,2019-07-02T01:30:00,9S,ILL13,EHZ,No-Data
15,DF,2019-07-02T22:15:00,2019-07-02T23:35:00,9S,ILL13,EHZ,No-Data
16,DF,2019-07-03T17:20:00,2019-07-03T18:30:00,9S,ILL13,EHZ,No-Data
17,DF,2019-07-15T03:45:00,2019-07-15T05:00:00,9S,ILL13,EHZ,No-Data
18,DF,2019-07-26T17:30:00,2019-07-26T19:05:00,9S,ILL13,EHZ,No-Data
19,DF,2019-08-11T16:43:00,2019-08-11T18:45:00,9S,ILL13,EHZ,No-Data
20,DF,2019-08-20T16:50:00,2019-08-20T18:10:00,9S,ILL13,EHZ,No-Data
