Index,Type,Data_Selected_Start,End,Code,Station,Channel,Peak_times
21,DF,2020-06-04T15:10:00,2020-06-04T17:45:00,9S,ILL12,EHZ,2020-06-04T16:15:36
22,DF,2020-06-07T07:50:00,2020-06-07T09:15:00,9S,ILL12,EHZ,2020-06-07T08:04:51
23,DF,2020-06-08T13:55:00,2020-06-08T15:00:00,9S,ILL12,EHZ,2020-06-08T14:13:34
24,DF,2020-06-08T16:45:00,2020-06-08T18:00:00,9S,ILL12,EHZ,2020-06-08T16:57:33
25,F?,2020-06-10T00:25:00,2020-06-10T01:20:00,9S,ILL12,EHZ,2020-06-08T16:57:33
26,DF,2020-06-16T22:45:00,2020-06-17T00:15:00,9S,ILL12,EHZ,2020-06-17T01:56:49
27,DF,2020-06-17T01:30:00,2020-06-17T02:50:00,9S,ILL12,EHZ,2020-06-17T03:38:08
28,DF,2020-06-17T03:20:00,2020-06-17T05:00:00,9S,ILL12,EHZ,2020-06-29T04:58:50
29,DF,2020-06-29T04:50:00,2020-06-29T06:00:00,9S,ILL12,EHZ,2020-07-28T17:07:27
30,DF,2020-07-28T16:50:00,2020-07-28T18:20:00,9S,ILL12,EHZ,2020-08-16T21:40:33
31,DF,2020-08-16T21:10:00,2020-08-16T22:40:00,9S,ILL12,EHZ,2020-08-30T05:44:23
32,DF,2020-08-30T05:10:00,2020-08-30T11:15:00,9S,ILL12,EHZ,2020-08-30T07:58:40
21,DF,2020-06-04T15:00:00,2020-06-04T17:15:00,9S,ILL18,EHZ,No-Data
22,DF,2020-06-07T07:40:00,2020-06-07T08:50:00,9S,ILL18,EHZ,No-Data
23,DF,2020-06-08T13:35:00,2020-06-08T14:30:00,9S,ILL18,EHZ,No-Data
24,DF,2020-06-08T16:40:00,2020-06-08T17:40:00,9S,ILL18,EHZ,No-Data
25,F?,2020-06-09T23:55:00,2020-06-10T00:10:00,9S,ILL18,EHZ,No-Data
26,DF,2020-06-16T22:40:00,2020-06-16T23:10:00,9S,ILL18,EHZ,No-Data
27,DF,2020-06-17T01:10:00,2020-06-17T01:50:00,9S,ILL18,EHZ,No-Data
28,DF,2020-06-17T03:05:00,2020-06-17T04:30:00,9S,ILL18,EHZ,No-Data
29,DF,2020-06-29T04:30:00,2020-06-29T05:45:00,9S,ILL18,EHZ,No-Data
30,DF,2020-07-28T16:35:00,2020-07-28T17:45:00,9S,ILL18,EHZ,No-Data
31,DF,2020-08-16T21:10:00,2020-08-16T22:15:00,9S,ILL18,EHZ,No-Data
32,DF,2020-08-30T05:05:00,2020-08-30T10:45:00,9S,ILL18,EHZ,No-Data
21,DF,2020-06-04T15:15:00,2020-06-04T18:10:00,9S,ILL13,EHZ,No-Data
22,DF,2020-06-07T08:10:00,2020-06-07T10:10:00,9S,ILL13,EHZ,No-Data
23,DF,2020-06-08T14:20:00,2020-06-08T15:55:00,9S,ILL13,EHZ,No-Data
24,DF,2020-06-08T17:00:00,2020-06-08T19:00:00,9S,ILL13,EHZ,No-Data
25,F?,2020-06-10T00:50:00,2020-06-10T01:45:00,9S,ILL14,EHZ,No-Data
26,DF,2020-06-16T23:50:00,2020-06-17T00:30:00,9S,ILL13,EHZ,No-Data
27,DF,2020-06-17T01:50:00,2020-06-17T02:00:00,9S,ILL13,EHZ,No-Data
28,DF,2020-06-17T03:40:00,2020-06-17T06:20:00,9S,ILL13,EHZ,No-Data
29,DF,2020-06-29T05:05:00,2020-06-29T06:50:00,9S,ILL13,EHZ,No-Data
30,DF,2020-07-28T18:40:00,2020-07-28T19:00:00,9S,ILL13,EHZ,No-Data
31,DF,2020-08-16T21:40:00,2020-08-16T23:50:00,9S,ILL13,EHZ,No-Data
32,DF,2020-08-30T05:30:00,2020-08-30T11:30:00,9S,ILL13,EHZ,No-Data
