Index,Type,Data_Selected_Start,End,Code,Station,Channel,Peak_time(not correct2025-12-14)
1,DF,2014-04-26T22:35:07,2014-04-27T01:24:05,9J,IGB02,HHZ,2014-04-26T22:35:07
2,DF,2014-04-29T09:12:41,2014-04-29T12:30:44,9J,IGB02,HHZ,2014-04-29T09:12:41
3,DF,2014-04-30T11:41:10,2014-04-30T13:26:34,9J,IGB02,HHZ,2014-04-30T11:41:10
4,DF,2014-05-02T04:05:54,2014-05-02T08:10:00,9J,IGB02,HHZ,2014-05-02T04:05:54
5,DF,2014-05-07T15:48:01,2014-05-07T16:25:24,9J,IGB02,HHZ,2014-05-07T15:48:01
6,DF,2014-05-23T04:35:05,2014-05-23T05:15:15,9J,IGB02,HHZ,2014-05-23T04:35:05
7,DF,2014-05-24T09:20:00,2014-05-24T11:00:00,9J,IGB02,HHZ,2014-05-24T09:20:00
8,DF,2014-05-24T11:45:46,2014-05-24T14:37:14,9J,IGB02,HHZ,2014-05-24T11:45:46
9,DF,2014-05-27T05:51:11,2014-05-27T08:12:59,9J,IGB02,HHZ,2014-05-27T05:51:11
10,DF,2014-06-19T13:59:19,2014-06-19T15:23:49,9J,IGB02,HHZ,2014-06-19T13:59:19
11,DF,2014-06-23T17:49:14,2014-06-23T18:43:57,9J,IGB02,HHZ,2014-06-23T17:49:14
12,DF,2014-07-08T08:16:08,2014-07-08T11:22:43,9J,IGB02,HHZ,2014-07-08T08:16:08
13,DF,2014-07-12T14:50:37,2014-07-12T16:30:15,9J,IGB02,HHZ,2014-07-12T14:50:37
14,DF,2014-07-20T20:38:49,2014-07-20T22:06:51,9J,IGB02,HHZ,2014-07-20T20:38:49
15,DF,2014-07-20T23:11:03,2014-07-21T00:13:06,9J,IGB02,HHZ,2014-07-20T23:11:03
16,DF,2014-07-23T22:53:13,2014-07-24T00:42:26,9J,IGB02,HHZ,2014-07-23T22:53:13
17,DF,2014-07-28T16:02:42,2014-07-28T18:47:35,9J,IGB02,HHZ,2014-07-28T16:02:42
18,DF,2014-07-29T00:19:53,2014-07-29T01:32:23,9J,IGB02,HHZ,2014-07-29T00:19:53
19,DF,2014-07-29T02:21:12,2014-07-29T05:12:54,9J,IGB02,HHZ,2014-07-29T02:21:12
20(no2014-08-10 and 2014-08-13),DF,2014-08-02T19:09:25,2014-08-02T20:10:06,9J,IGB02,HHZ,2014-08-02T19:09:25
21,DF,2014-08-08T19:06:31,2014-08-08T20:37:15,9J,IGB02,HHZ,2014-08-08T19:06:31
22,DF,2014-09-08T19:50:18,2014-09-08T21:31:17,9J,IGB02,HHZ,2014-09-08T19:50:18
