Index,Type,Data_Selected_Start,End,Code,Station,Channel,Peak_time
1,DF,2019-06-10T17:05:38,2019-06-10T19:13:52,9S,ILL12,EHZ,2019-06-10T17:05:38
2,DF,2019-06-10T21:58:32,2019-06-11T01:31:51,9S,ILL12,EHZ,2019-06-10T21:58:32
3,DF,2019-06-20T09:00:58,2019-06-20T11:02:30,9S,ILL12,EHZ,2019-06-20T09:00:58
4,DF,2019-06-21T19:27:15,2019-06-21T20:35:52,9S,ILL12,EHZ,2019-06-21T19:27:15
5,DF,2019-07-01T23:03:48,2019-07-02T00:30:26,9S,ILL12,EHZ,2019-07-01T23:03:48
6,DF,2019-07-02T22:09:25,2019-07-02T23:14:12,9S,ILL12,EHZ,2019-07-02T22:09:25
7,DF,2019-07-03T16:39:42,2019-07-03T17:52:42,9S,ILL12,EHZ,2019-07-03T16:39:42
8,DF,2019-07-15T03:24:33,2019-07-15T04:59:02,9S,ILL12,EHZ,2019-07-15T03:24:33
9,DF,2019-07-26T17:22:24,2019-07-26T18:38:21,9S,ILL12,EHZ,2019-07-26T17:22:24
10,DF,2019-08-11T16:45:05,2019-08-11T17:45:00,9S,ILL12,EHZ,2019-08-11T16:45:05
11,DF,2019-08-20T16:28:37,2019-08-20T17:32:30,9S,ILL12,EHZ,2019-08-20T16:28:37
12,DF,2019-10-09T11:36:15,2019-10-09T12:31:35,9S,ILL12,EHZ,2019-10-09T11:36:15
13,DF,2019-10-15T15:48:32,2019-10-15T18:01:14,9S,ILL12,EHZ,2019-10-15T15:48:32
