Index,Type,Data_Selected_Start,End,Code,Station,Channel,Peak_time(not correct2025-12-14)
1,DF,2020-06-04T15:07:22,2020-06-04T17:23:21,9S,ILL12,EHZ,2020-06-04T15:07:22
2,DF,2020-06-07T07:49:43,2020-06-07T08:54:50,9S,ILL12,EHZ,2020-06-07T07:49:43
3,DF,2020-06-08T13:59:14,2020-06-08T15:16:51,9S,ILL12,EHZ,2020-06-08T13:59:14
4,DF,2020-06-08T16:44:42,2020-06-08T17:42:52,9S,ILL12,EHZ,2020-06-08T16:44:42
5,DF,2020-06-16T22:29:28,2020-06-17T00:46:42,9S,ILL12,EHZ,2020-06-16T22:29:28
6,DF,2020-06-17T01:48:31,2020-06-17T02:50:12,9S,ILL12,EHZ,2020-06-17T01:48:31
7,DF,2020-06-17T03:22:18,2020-06-17T05:05:45,9S,ILL12,EHZ,2020-06-17T03:22:18
8,DF,2020-06-29T04:33:48,2020-06-29T06:12:33,9S,ILL12,EHZ,2020-06-29T04:33:48
9,DF,2020-07-28T16:34:50,2020-07-28T18:52:13,9S,ILL12,EHZ,2020-07-28T16:34:50
10,DF,2020-08-16T21:10:50,2020-08-16T22:59:59,9S,ILL12,EHZ,2020-08-16T21:10:50
11,DF,2020-08-30T04:56:37,2020-08-30T09:36:51,9S,ILL12,EHZ,2020-08-30T04:56:37
