ID,Continent,Catchment,longitude_sta,latitude,Client,Network,Station,Location,Component,SPS,Distance (km),Start-time,End-time
1,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2013-07-22T16:30:00,2013-07-22T18:30:00
2,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2013-07-29T07:15:00,2013-07-29T08:30:00
3,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2013-07-29T08:30:00,2013-07-29T12:15:00
4,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2013-07-29T12:00:00,2013-07-29T15:00:00
5,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-04-08T06:00:00,2014-04-08T18:00:00
7,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-04-29T09:00:00,2014-04-29T15:00:00
8,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-04-30T11:00:00,2014-04-30T15:00:00
9,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-05-02T03:00:00,2014-05-02T12:00:00
10,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-05-07T15:30:00,2014-05-07T18:00:00
11,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-05-23T04:00:00,2014-05-23T06:00:00
12,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-05-24T09:00:00,2014-05-24T11:00:00
13,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-05-24T11:00:00,2014-05-24T16:00:00
14,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-05-27T05:30:00,2014-05-27T11:00:00
15,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-06-19T14:00:00,2014-06-19T16:00:00
16,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-06-23T17:30:00,2014-06-23T19:30:00
17,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-07-08T05:00:00,2014-07-08T14:00:00
18,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-07-12T14:40:00,2014-07-12T17:00:00
19,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-07-20T20:00:00,2014-07-20T22:30:00
20,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-07-20T22:30:00,2014-07-21T01:00:00
21,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-07-23T22:50:00,2014-07-24T02:00:00
22,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-07-28T16:00:00,2014-07-28T21:00:00
23,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-07-28T22:00:00,2014-07-29T02:00:00
24,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-07-29T02:00:00,2014-07-29T06:00:00
25,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-08-02T17:30:00,2014-08-02T21:30:00
26,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-08-08T18:30:00,2014-08-08T21:00:00
27,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-08-11T00:00:00,2014-08-11T09:00:00
28,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-08-13T03:00:00,2014-08-13T15:00:00
29,European,Illgraben,7.62994,46.2873,GEOFON,9J,IGB02,empty,HHZ,200,0.09,2014-09-08T19:30:00,2014-09-08T21:30:00
30,European,Illgraben,7.62994,46.2873,ETH,9S,ILL02,empty,EHZ,100,0.09,2017-05-19T11:50:00,2017-05-19T13:00:00
31,European,Illgraben,7.62994,46.2873,ETH,9S,ILL02,empty,EHZ,100,0.09,2017-05-29T16:55:00,2017-05-29T17:50:00
32,European,Illgraben,7.62994,46.2873,ETH,9S,ILL02,empty,EHZ,100,0.09,2017-06-03T20:10:00,2017-06-03T21:30:00
33,European,Illgraben,7.62994,46.2873,ETH,9S,ILL02,empty,EHZ,100,0.09,2017-06-03T23:20:00,2017-06-04T00:15:00
34,European,Illgraben,7.62994,46.2873,ETH,9S,ILL02,empty,EHZ,100,0.09,2017-06-14T19:25:00,2017-06-14T20:15:00
35,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2018-06-11T10:47:00,2018-06-11T11:40:00
36,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2018-06-12T18:20:00,2018-06-12T20:00:00
37,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2018-07-25T16:45:00,2018-07-25T17:45:00
38,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2018-08-08T17:45:00,2018-08-08T18:15:00
39,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-06-10T17:00:00,2019-06-10T19:20:00
40,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-06-10T21:50:00,2019-06-11T01:10:00
41,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-06-20T09:00:00,2019-06-20T10:50:00
42,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-06-21T19:30:00,2019-06-21T20:30:00
43,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-07-01T23:00:00,2019-07-02T00:30:00
